rifiuto,X_r,algoritmo,is_best,n_vehicles,F_total,F_insoddis,F_costo_fisso,F_viaggio,F_lavoro,algo_time_sec
organico,0.5,greedy,0,3,4870.9579,4545.0,180.0,36.3108,109.6471,6.533619
organico,1.0,greedy,0,2,4071.1336,3545.0,240.0,70.4913,215.6422,6.533619
organico,1.5,greedy,0,2,3334.2003,2545.0,360.0,105.737,323.4634,6.533619
organico,2.0,greedy,0,2,2759.2671,1707.0,480.0,140.9826,431.2845,6.533619
organico,2.5,greedy,1,2,2346.3339,1031.0,600.0,176.2283,539.1056,6.533619
organico,3.0,greedy,0,2,2461.4007,883.0,720.0,211.4739,646.9267,6.533619
organico,3.5,greedy,0,2,2576.4674,735.0,840.0,246.7196,754.7478,6.533619
organico,4.0,greedy,0,2,2811.5342,707.0,960.0,281.9653,862.569,6.533619
organico,4.5,greedy,0,2,3166.601,799.0,1080.0,317.2109,970.3901,6.533619
organico,5.0,greedy,0,2,3521.6678,891.0,1200.0,352.4566,1078.2112,6.533619
organico,5.5,greedy,0,2,3984.7346,1091.0,1320.0,387.7022,1186.0323,6.533619
organico,6.0,greedy,0,2,4447.8013,1291.0,1440.0,422.9479,1293.8535,6.533619
carta,0.5,greedy,0,2,1430.9426,1218.0,80.0,34.4262,98.5164,6.533619
carta,1.0,greedy,1,2,849.6169,412.4,160.0,73.0273,204.1896,6.533619
carta,1.5,greedy,0,2,920.2254,264.4,240.0,109.5409,306.2844,6.533619
carta,2.0,greedy,0,2,1230.8338,356.4,320.0,146.0546,408.3793,6.533619
carta,2.5,greedy,0,2,1649.4423,556.4,400.0,182.5682,510.4741,6.533619
carta,3.0,greedy,0,2,2068.0508,756.4,480.0,219.0819,612.5689,6.533619
carta,3.5,greedy,0,2,2486.6592,956.4,560.0,255.5955,714.6637,6.533619
carta,4.0,greedy,0,2,2905.2677,1156.4,640.0,292.1092,816.7585,6.533619
carta,4.5,greedy,0,2,3323.8761,1356.4,720.0,328.6228,918.8533,6.533619
carta,5.0,greedy,0,2,3742.4846,1556.4,800.0,365.1364,1020.9481,6.533619
carta,5.5,greedy,0,2,4161.0931,1756.4,880.0,401.6501,1123.043,6.533619
carta,6.0,greedy,0,2,4579.7015,1956.4,960.0,438.1637,1225.1378,6.533619
plastica,0.5,greedy,0,3,3018.6932,2770.6,105.0,38.1659,104.9273,6.533619
plastica,1.0,greedy,0,2,2187.8169,1770.6,140.0,73.0273,204.1896,6.533619
plastica,1.5,greedy,0,2,1597.3054,971.48,210.0,109.5409,306.2844,6.533619
plastica,2.0,greedy,1,2,1446.7138,612.28,280.0,146.0546,408.3793,6.533619
plastica,2.5,greedy,0,2,1507.3223,464.28,350.0,182.5682,510.4741,6.533619
plastica,3.0,greedy,0,2,1783.9308,532.28,420.0,219.0819,612.5689,6.533619
plastica,3.5,greedy,0,2,2106.1392,645.88,490.0,255.5955,714.6637,6.533619
plastica,4.0,greedy,0,2,2514.7477,845.88,560.0,292.1092,816.7585,6.533619
plastica,4.5,greedy,0,2,2923.3561,1045.88,630.0,328.6228,918.8533,6.533619
plastica,5.0,greedy,0,2,3331.9646,1245.88,700.0,365.1364,1020.9481,6.533619
plastica,5.5,greedy,0,2,3740.5731,1445.88,770.0,401.6501,1123.043,6.533619
plastica,6.0,greedy,0,2,4149.1815,1645.88,840.0,438.1637,1225.1378,6.533619
vetro,0.5,greedy,1,2,468.7379,206.2,110.0,34.3692,118.1687,6.533619
vetro,1.0,greedy,0,2,703.2758,178.2,220.0,68.7385,236.3374,6.533619
