rifiuto,X_r,algoritmo,is_best,n_vehicles,F_total,F_insoddis,F_costo_fisso,F_viaggio,F_lavoro,algo_time_sec
organico,0.5,greedy,0,151,245030.6566,231945.0,9060.0,591.963,3433.6936,172.269209
organico,1.0,greedy,0,78,198586.3318,181945.0,9360.0,900.2485,6381.0832,172.269209
organico,1.5,greedy,0,57,152737.4667,131945.0,10260.0,1206.8614,9325.6052,172.269209
organico,2.0,greedy,0,52,115651.2143,89352.0,12480.0,1526.5949,12292.6194,172.269209
organico,2.5,greedy,0,52,87043.8403,54166.0,15600.0,1909.6518,15368.1885,172.269209
organico,3.0,greedy,0,52,85241.4084,45788.0,18720.0,2291.5822,18441.8262,172.269209
organico,3.5,greedy,1,52,83438.9765,37410.0,21840.0,2673.5125,21515.4639,172.269209
organico,4.0,greedy,0,52,87903.5445,35299.0,24960.0,3055.4429,24589.1017,172.269209
organico,4.5,greedy,0,52,98635.1126,39455.0,28080.0,3437.3732,27662.7394,172.269209
organico,5.0,greedy,0,52,109366.6807,43611.0,31200.0,3819.3036,30736.3771,172.269209
organico,5.5,greedy,0,52,125942.2487,53611.0,34320.0,4201.2339,33810.0148,172.269209
organico,6.0,greedy,0,52,142517.8168,63611.0,37440.0,4583.1643,36883.6525,172.269209
carta,0.5,greedy,0,101,70154.1856,62778.0,4040.0,486.4763,2849.7093,172.269209
carta,1.0,greedy,0,53,32074.5181,21666.4,4240.0,787.1751,5380.943,172.269209
carta,1.5,greedy,1,45,27743.2742,13288.4,5400.0,1108.0721,7946.8021,172.269209
carta,2.0,greedy,0,45,36679.8198,17444.4,7200.0,1463.5233,10571.8965,172.269209
carta,2.5,greedy,0,45,51488.6747,27444.4,9000.0,1829.4041,13214.8707,172.269209
carta,3.0,greedy,0,45,66297.5297,37444.4,10800.0,2195.2849,15857.8448,172.269209
carta,3.5,greedy,0,45,81106.3846,47444.4,12600.0,2561.1657,18500.8189,172.269209
carta,4.0,greedy,0,45,95915.2396,57444.4,14400.0,2927.0465,21143.793,172.269209
carta,4.5,greedy,0,45,110724.0945,67444.4,16200.0,3292.9273,23786.7672,172.269209
carta,5.0,greedy,0,45,125532.9494,77444.4,18000.0,3658.8081,26429.7413,172.269209
carta,5.5,greedy,0,45,140341.8044,87444.4,19800.0,4024.689,29072.7154,172.269209
carta,6.0,greedy,0,45,155150.6593,97444.4,21600.0,4390.5698,31715.6896,172.269209
plastica,0.5,greedy,0,129,149710.2767,141722.6,4515.0,536.7625,2935.9142,172.269209
plastica,1.0,greedy,0,65,102579.9664,91722.6,4550.0,838.4771,5468.8893,172.269209
plastica,1.5,greedy,0,48,65079.8741,50907.28,5040.0,1136.7058,7995.8882,172.269209
plastica,2.0,greedy,0,45,50159.4453,31806.08,6300.0,1470.1349,10583.2305,172.269209
plastica,2.5,greedy,1,45,46347.3547,23428.08,7875.0,1829.4041,13214.8707,172.269209
plastica,3.0,greedy,0,45,53833.8097,26330.68,9450.0,2195.2849,15857.8448,172.269209
plastica,3.5,greedy,0,45,63742.4646,31655.48,11025.0,2561.1657,18500.8189,172.269209
plastica,4.0,greedy,0,45,78326.3196,41655.48,12600.0,2927.0465,21143.793,172.269209
plastica,4.5,greedy,0,45,92910.1745,51655.48,14175.0,3292.9273,23786.7672,172.269209
plastica,5.0,greedy,0,45,107494.0294,61655.48,15750.0,3658.8081,26429.7413,172.269209
plastica,5.5,greedy,0,45,122077.8844,71655.48,17325.0,4024.689,29072.7154,172.269209
plastica,6.0,greedy,0,45,136661.7393,81655.48,18900.0,4390.5698,31715.6896,172.269209
vetro,0.5,greedy,1,63,18423.3934,10833.2,3465.0,405.841,3719.3524,172.269209
vetro,1.0,greedy,0,63,23906.994,8722.2,6930.0,813.3056,7441.4884,172.269209
vetro,1.5,greedy,0,63,41499.391,18722.2,10395.0,1219.9585,11162.2325,172.269209
vetro,2.0,greedy,0,63,59091.788,28722.2,13860.0,1626.6113,14882.9767,172.269209
vetro,2.5,greedy,0,63,76684.185,38722.2,17325.0,2033.2641,18603.7209,172.269209
vetro,3.0,greedy,0,63,94276.582,48722.2,20790.0,2439.9169,22324.4651,172.269209
vetro,3.5,greedy,0,63,111868.979,58722.2,24255.0,2846.5697,26045.2092,172.269209
vetro,4.0,greedy,0,63,129461.376,68722.2,27720.0,3253.2225,29765.9534,172.269209
vetro,4.5,greedy,0,63,147053.773,78722.2,31185.0,3659.8754,33486.6976,172.269209
vetro,5.0,greedy,0,63,164646.17,88722.2,34650.0,4066.5282,37207.4418,172.269209
vetro,5.5,greedy,0,63,182238.567,98722.2,38115.0,4473.181,40928.1859,172.269209
vetro,6.0,greedy,0,63,199830.9639,108722.2,41580.0,4879.8338,44648.9301,172.269209
indifferenziata,0.5,greedy,0,95,183565.1584,175556.0,4275.0,484.5689,3249.5895,172.269209
indifferenziata,1.0,greedy,0,55,137516.805,125556.0,4950.0,800.5807,6210.2243,172.269209
indifferenziata,1.5,greedy,0,52,95905.5042,78518.8,7020.0,1145.7911,9220.9131,172.269209
indifferenziata,2.0,greedy,0,52,66515.0723,43332.8,9360.0,1527.7214,12294.5508,172.269209
