rifiuto,X_r,algoritmo,is_best,n_vehicles,F_total,F_insoddis,F_costo_fisso,F_viaggio,F_lavoro,algo_time_sec
organico,0.5,greedy,0,46,73651.6503,69527.5,2760.0,237.5396,1126.6107,29.241477
organico,1.0,greedy,0,23,59774.4131,54527.5,2760.0,386.1469,2100.7662,29.241477
organico,1.5,greedy,0,18,46420.2606,39527.5,3240.0,550.6276,3102.1329,29.241477
organico,2.0,greedy,0,18,35895.4175,26741.5,4320.0,720.7486,4113.1689,29.241477
organico,2.5,greedy,0,18,27611.8969,16169.5,5400.0,900.9357,5141.4612,29.241477
organico,3.0,greedy,0,18,27512.3762,13781.5,6480.0,1081.1228,6169.7534,29.241477
organico,3.5,greedy,1,18,27412.8556,11393.5,7560.0,1261.31,7198.0456,29.241477
organico,4.0,greedy,0,18,29086.335,10778.5,8640.0,1441.4971,8226.3378,29.241477
organico,4.5,greedy,0,18,32532.8143,11936.5,9720.0,1621.6843,9254.6301,29.241477
organico,5.0,greedy,0,18,35979.2937,13094.5,10800.0,1801.8714,10282.9223,29.241477
organico,5.5,greedy,0,18,41267.7731,16094.5,11880.0,1982.0586,11311.2145,29.241477
organico,6.0,greedy,0,18,46556.2525,19094.5,12960.0,2162.2457,12339.5068,29.241477
carta,0.5,greedy,0,31,21212.1116,18811.0,1240.0,206.9095,954.202,29.241477
carta,1.0,greedy,0,16,9900.6233,6467.8,1280.0,351.4086,1801.4146,29.241477
carta,1.5,greedy,1,15,9062.364,4079.8,1800.0,509.9184,2672.6456,29.241477
carta,2.0,greedy,0,15,11881.2187,5237.8,2400.0,679.8911,3563.5275,29.241477
carta,2.5,greedy,0,15,16542.0733,8237.8,3000.0,849.8639,4454.4094,29.241477
carta,3.0,greedy,0,15,21202.928,11237.8,3600.0,1019.8367,5345.2913,29.241477
carta,3.5,greedy,0,15,25863.7827,14237.8,4200.0,1189.8095,6236.1732,29.241477
carta,4.0,greedy,0,15,30524.6374,17237.8,4800.0,1359.7823,7127.0551,29.241477
carta,4.5,greedy,0,15,35185.492,20237.8,5400.0,1529.7551,8017.9369,29.241477
carta,5.0,greedy,0,15,39846.3467,23237.8,6000.0,1699.7279,8908.8188,29.241477
carta,5.5,greedy,0,15,44507.2014,26237.8,6600.0,1869.7007,9799.7007,29.241477
carta,6.0,greedy,0,15,49168.056,29237.8,7200.0,2039.6734,10690.5826,29.241477
plastica,0.5,greedy,0,39,45038.5382,42478.7,1365.0,219.3351,975.5031,29.241477
plastica,1.0,greedy,0,20,31091.2654,27478.7,1400.0,373.4188,1839.1466,29.241477
plastica,1.5,greedy,0,16,20114.2125,15224.06,1680.0,520.0825,2690.0699,29.241477
plastica,2.0,greedy,0,15,15905.8787,9562.46,2100.0,679.8911,3563.5275,29.241477
plastica,2.5,greedy,1,15,15103.7333,7174.46,2625.0,849.8639,4454.4094,29.241477
plastica,3.0,greedy,0,15,17492.988,7977.86,3150.0,1019.8367,5345.2913,29.241477
plastica,3.5,greedy,0,15,20605.2427,9504.26,3675.0,1189.8095,6236.1732,29.241477
plastica,4.0,greedy,0,15,25191.0974,12504.26,4200.0,1359.7823,7127.0551,29.241477
