rifiuto,X_r,algoritmo,is_best,n_vehicles,F_total,F_insoddis,F_costo_fisso,F_viaggio,F_lavoro,algo_time_sec
organico,0.5,greedy,0,8,12430.7145,11637.5,480.0,71.2948,241.9197,6.960508
organico,1.0,greedy,0,4,10189.1271,9137.5,480.0,122.3995,449.2276,6.960508
organico,1.5,greedy,0,4,8213.1887,6637.5,720.0,182.9538,672.7349,6.960508
organico,2.0,greedy,0,4,6613.4183,4512.5,960.0,243.9383,896.9799,6.960508
organico,2.5,greedy,1,4,5388.6478,2762.5,1200.0,304.9229,1121.2249,6.960508
organico,3.0,greedy,0,4,5519.8774,2368.5,1440.0,365.9075,1345.4699,6.960508
organico,3.5,greedy,0,4,5651.1069,1974.5,1680.0,426.8921,1569.7148,6.960508
organico,4.0,greedy,0,4,6058.3365,1856.5,1920.0,487.8767,1793.9598,6.960508
organico,4.5,greedy,0,4,6741.5661,2014.5,2160.0,548.8613,2018.2048,6.960508
organico,5.0,greedy,0,4,7424.7956,2172.5,2400.0,609.8459,2242.4498,6.960508
organico,5.5,greedy,0,4,8450.0252,2672.5,2640.0,670.8305,2466.6947,6.960508
organico,6.0,greedy,0,4,9475.2548,3172.5,2880.0,731.815,2690.9397,6.960508
carta,0.5,greedy,0,6,3673.9762,3155.0,240.0,66.0307,212.9455,6.960508
carta,1.0,greedy,1,4,1957.2295,1105.0,320.0,122.5846,409.645,6.960508
carta,1.5,greedy,0,4,1989.3443,711.0,480.0,183.8769,614.4674,6.960508
carta,2.0,greedy,0,4,2573.459,869.0,640.0,245.1691,819.2899,6.960508
carta,2.5,greedy,0,4,3499.5738,1369.0,800.0,306.4614,1024.1124,6.960508
carta,3.0,greedy,0,4,4425.6886,1869.0,960.0,367.7537,1228.9349,6.960508
carta,3.5,greedy,0,4,5351.8033,2369.0,1120.0,429.046,1433.7573,6.960508
carta,4.0,greedy,0,4,6277.9181,2869.0,1280.0,490.3383,1638.5798,6.960508
carta,4.5,greedy,0,4,7204.0329,3369.0,1440.0,551.6306,1843.4023,6.960508
carta,5.0,greedy,0,4,8130.1476,3869.0,1600.0,612.9229,2048.2248,6.960508
carta,5.5,greedy,0,4,9056.2624,4369.0,1760.0,674.2151,2253.0472,6.960508
carta,6.0,greedy,0,4,9982.3771,4869.0,1920.0,735.5074,2457.8697,6.960508
plastica,0.5,greedy,0,7,7644.2674,7113.5,245.0,68.5327,217.2347,6.960508
plastica,1.0,greedy,0,4,5435.4433,4613.5,280.0,126.1633,415.78,6.960508
plastica,1.5,greedy,0,4,3796.8443,2578.5,420.0,183.8769,614.4674,6.960508
plastica,2.0,greedy,1,4,3266.559,1642.1,560.0,245.1691,819.2899,6.960508
plastica,2.5,greedy,0,4,3278.6738,1248.1,700.0,306.4614,1024.1124,6.960508
plastica,3.0,greedy,0,4,3787.5886,1350.9,840.0,367.7537,1228.9349,6.960508
plastica,3.5,greedy,0,4,4420.1033,1577.3,980.0,429.046,1433.7573,6.960508
plastica,4.0,greedy,0,4,5326.2181,2077.3,1120.0,490.3383,1638.5798,6.960508
plastica,4.5,greedy,0,4,6232.3329,2577.3,1260.0,551.6306,1843.4023,6.960508
plastica,5.0,greedy,0,4,7138.4476,3077.3,1400.0,612.9229,2048.2248,6.960508
plastica,5.5,greedy,0,4,8044.5624,3577.3,1540.0,674.2151,2253.0472,6.960508
plastica,6.0,greedy,0,4,8950.6771,4077.3,1680.0,735.5074,2457.8697,6.960508
vetro,0.5,greedy,1,5,1153.2309,552.5,275.0,64.8811,260.8498,6.960508
vetro,1.0,greedy,0,5,1635.9618,434.5,550.0,129.7622,521.6995,6.960508
vetro,1.5,greedy,0,5,2736.6926,934.5,825.0,194.6433,782.5493,6.960508
vetro,2.0,greedy,0,5,3837.4235,1434.5,1100.0,259.5244,1043.3991,6.960508
vetro,2.5,greedy,0,5,4938.1544,1934.5,1375.0,324.4055,1304.2488,6.960508
vetro,3.0,greedy,0,5,6038.8853,2434.5,1650.0,389.2866,1565.0986,6.960508
vetro,3.5,greedy,0,5,7139.6161,2934.5,1925.0,454.1678,1825.9484,6.960508
vetro,4.0,greedy,0,5,8240.347,3434.5,2200.0,519.0489,2086.7982,6.960508
vetro,4.5,greedy,0,5,9341.0779,3934.5,2475.0,583.93,2347.6479,6.960508
vetro,5.0,greedy,0,5,10441.8088,4434.5,2750.0,648.8111,2608.4977,6.960508
vetro,5.5,greedy,0,5,11542.5397,4934.5,3025.0,713.6922,2869.3475,6.960508
vetro,6.0,greedy,0,5,12643.2705,5434.5,3300.0,778.5733,3130.1972,6.960508
indifferenziata,0.5,greedy,0,5,9326.9738,8810.0,225.0,63.4693,228.5045,6.960508
indifferenziata,1.0,greedy,0,4,7240.4591,6310.0,360.0,121.9692,448.49,6.960508
indifferenziata,1.5,greedy,0,4,5355.6887,3960.0,540.0,182.9538,672.7349,6.960508
indifferenziata,2.0,greedy,1,4,4070.9183,2210.0,720.0,243.9383,896.9799,6.960508
indifferenziata,2.5,greedy,0,4,4142.1478,1816.0,900.0,304.9229,1121.2249,6.960508
indifferenziata,3.0,greedy,0,4,4213.3774,1422.0,1080.0,365.9075,1345.4699,6.960508
