rifiuto,X_r,algoritmo,is_best,n_vehicles,F_total,F_insoddis,F_costo_fisso,F_viaggio,F_lavoro,algo_time_sec
organico,0.5,greedy,0,2,2395.9773,2192.5,120.0,22.1337,61.3436,6.230477
organico,1.0,greedy,0,1,1974.127,1692.5,120.0,42.3047,119.3223,6.230477
organico,1.5,greedy,0,1,1614.9405,1192.5,180.0,63.457,178.9835,6.230477
organico,2.0,greedy,0,1,1363.754,800.5,240.0,84.6094,238.6446,6.230477
organico,2.5,greedy,1,1,1220.5675,516.5,300.0,105.7617,298.3058,6.230477
organico,3.0,greedy,0,1,1293.381,448.5,360.0,126.9141,357.967,6.230477
organico,3.5,greedy,0,1,1366.1946,380.5,420.0,148.0664,417.6281,6.230477
organico,4.0,greedy,0,1,1496.0081,369.5,480.0,169.2188,477.2893,6.230477
organico,4.5,greedy,0,1,1682.8216,415.5,540.0,190.3711,536.9504,6.230477
organico,5.0,greedy,0,1,1869.6351,461.5,600.0,211.5235,596.6116,6.230477
organico,5.5,greedy,0,1,2110.4486,561.5,660.0,232.6758,656.2728,6.230477
organico,6.0,greedy,0,1,2351.2621,661.5,720.0,253.8282,715.9339,6.230477
carta,0.5,greedy,0,1,694.164,577.0,40.0,21.2446,55.9193,6.230477
carta,1.0,greedy,1,1,440.9279,206.6,80.0,42.4892,111.8387,6.230477
carta,1.5,greedy,0,1,490.0919,138.6,120.0,63.7338,167.758,6.230477
carta,2.0,greedy,0,1,653.2558,184.6,160.0,84.9784,223.6774,6.230477
carta,2.5,greedy,0,1,870.4198,284.6,200.0,106.2231,279.5967,6.230477
carta,3.0,greedy,0,1,1087.5838,384.6,240.0,127.4677,335.5161,6.230477
carta,3.5,greedy,0,1,1304.7477,484.6,280.0,148.7123,391.4354,6.230477
carta,4.0,greedy,0,1,1521.9117,584.6,320.0,169.9569,447.3548,6.230477
carta,4.5,greedy,0,1,1739.0757,684.6,360.0,191.2015,503.2741,6.230477
carta,5.0,greedy,0,1,1956.2396,784.6,400.0,212.4461,559.1935,6.230477
carta,5.5,greedy,0,1,2173.4036,884.6,440.0,233.6907,615.1128,6.230477
carta,6.0,greedy,0,1,2390.5675,984.6,480.0,254.9353,671.0322,6.230477
plastica,0.5,greedy,0,2,1483.6471,1330.9,70.0,23.3016,59.4455,6.230477
plastica,1.0,greedy,0,1,1055.2279,830.9,70.0,42.4892,111.8387,6.230477
plastica,1.5,greedy,0,1,801.3119,464.82,105.0,63.7338,167.758,6.230477
plastica,2.0,greedy,1,1,759.0758,310.42,140.0,84.9784,223.6774,6.230477
plastica,2.5,greedy,0,1,803.2398,242.42,175.0,106.2231,279.5967,6.230477
plastica,3.0,greedy,0,1,950.0038,277.02,210.0,127.4677,335.5161,6.230477
plastica,3.5,greedy,0,1,1118.9677,333.82,245.0,148.7123,391.4354,6.230477
plastica,4.0,greedy,0,1,1331.1317,433.82,280.0,169.9569,447.3548,6.230477
plastica,4.5,greedy,0,1,1543.2957,533.82,315.0,191.2015,503.2741,6.230477
plastica,5.0,greedy,0,1,1755.4596,633.82,350.0,212.4461,559.1935,6.230477
plastica,5.5,greedy,0,1,1967.6236,733.82,385.0,233.6907,615.1128,6.230477
plastica,6.0,greedy,0,1,2179.7875,833.82,420.0,254.9353,671.0322,6.230477
vetro,0.5,greedy,1,2,303.2017,103.3,110.0,22.3454,67.5563,6.230477
vetro,1.0,greedy,0,2,492.1033,92.3,220.0,44.6907,135.1126,6.230477
