rifiuto,X_r,algoritmo,is_best,n_vehicles,F_total,F_insoddis,F_costo_fisso,F_viaggio,F_lavoro,algo_time_sec
organico,0.5,greedy,0,28,47805.3476,45177.5,1680.0,177.007,770.8405,16.71641
organico,1.0,greedy,0,15,38742.3177,35177.5,1800.0,305.796,1459.0217,16.71641
organico,1.5,greedy,0,12,29862.3529,25177.5,2160.0,413.6089,2111.2439,16.71641
organico,2.0,greedy,0,12,22992.9705,16746.5,2880.0,551.4786,2814.9919,16.71641
organico,2.5,greedy,1,12,17692.5881,9884.5,3600.0,689.3482,3518.7399,16.71641
organico,3.0,greedy,0,12,17906.2057,8536.5,4320.0,827.2179,4222.4878,16.71641
organico,3.5,greedy,0,12,18119.8233,7188.5,5040.0,965.0875,4926.2358,16.71641
organico,4.0,greedy,0,12,19497.4409,7004.5,5760.0,1102.9571,5629.9838,16.71641
organico,4.5,greedy,0,12,22039.0586,7984.5,6480.0,1240.8268,6333.7318,16.71641
organico,5.0,greedy,0,12,24580.6762,8964.5,7200.0,1378.6964,7037.4797,16.71641
organico,5.5,greedy,0,12,28142.2938,10964.5,7920.0,1516.5661,7741.2277,16.71641
organico,6.0,greedy,0,12,31703.9114,12964.5,8640.0,1654.4357,8444.9757,16.71641
carta,0.5,greedy,0,19,13631.4633,12071.0,760.0,151.4075,649.0558,16.71641
carta,1.0,greedy,0,11,6353.5618,3953.8,880.0,272.9123,1246.8496,16.71641
carta,1.5,greedy,1,11,6199.9884,2605.8,1320.0,407.3589,1866.8295,16.71641
carta,2.0,greedy,0,11,8378.0513,3585.8,1760.0,543.1452,2489.1061,16.71641
carta,2.5,greedy,0,11,11576.1141,5585.8,2200.0,678.9315,3111.3826,16.71641
carta,3.0,greedy,0,11,14774.1769,7585.8,2640.0,814.7178,3733.6591,16.71641
carta,3.5,greedy,0,11,17972.2397,9585.8,3080.0,950.5041,4355.9356,16.71641
carta,4.0,greedy,0,11,21170.3025,11585.8,3520.0,1086.2904,4978.2121,16.71641
carta,4.5,greedy,0,11,24368.3653,13585.8,3960.0,1222.0767,5600.4886,16.71641
carta,5.0,greedy,0,11,27566.4282,15585.8,4400.0,1357.863,6222.7652,16.71641
carta,5.5,greedy,0,11,30764.491,17585.8,4840.0,1493.6493,6845.0417,16.71641
carta,6.0,greedy,0,11,33962.5538,19585.8,5280.0,1629.4356,7467.3182,16.71641
plastica,0.5,greedy,0,24,29204.4633,27520.7,840.0,167.3602,676.4032,16.71641
plastica,1.0,greedy,0,12,19916.0239,17520.7,840.0,286.0141,1269.3098,16.71641
plastica,1.5,greedy,0,11,12895.4484,9466.26,1155.0,407.3589,1866.8295,16.71641
plastica,2.0,greedy,0,11,10484.9113,5912.66,1540.0,543.1452,2489.1061,16.71641
plastica,2.5,greedy,1,11,10279.9741,4564.66,1925.0,678.9315,3111.3826,16.71641
plastica,3.0,greedy,0,11,12170.2369,5311.86,2310.0,814.7178,3733.6591,16.71641
plastica,3.5,greedy,0,11,14497.2997,6495.86,2695.0,950.5041,4355.9356,16.71641
plastica,4.0,greedy,0,11,17640.3625,8495.86,3080.0,1086.2904,4978.2121,16.71641
plastica,4.5,greedy,0,11,20783.4253,10495.86,3465.0,1222.0767,5600.4886,16.71641
plastica,5.0,greedy,0,11,23926.4882,12495.86,3850.0,1357.863,6222.7652,16.71641
plastica,5.5,greedy,0,11,27069.551,14495.86,4235.0,1493.6493,6845.0417,16.71641
plastica,6.0,greedy,0,11,30212.6138,16495.86,4620.0,1629.4356,7467.3182,16.71641
vetro,0.5,greedy,1,14,3725.421,1976.9,770.0,145.2577,833.2633,16.71641
vetro,1.0,greedy,0,14,5289.9421,1792.9,1540.0,290.5155,1666.5266,16.71641
vetro,1.5,greedy,0,14,9038.4631,3792.9,2310.0,435.7732,2499.7899,16.71641
vetro,2.0,greedy,0,14,12786.9842,5792.9,3080.0,581.031,3333.0532,16.71641
vetro,2.5,greedy,0,14,16535.5052,7792.9,3850.0,726.2887,4166.3165,16.71641
vetro,3.0,greedy,0,14,20284.0262,9792.9,4620.0,871.5465,4999.5798,16.71641
vetro,3.5,greedy,0,14,24032.5473,11792.9,5390.0,1016.8042,5832.8431,16.71641
vetro,4.0,greedy,0,14,27781.0683,13792.9,6160.0,1162.0619,6666.1064,16.71641
vetro,4.5,greedy,0,14,31529.5894,15792.9,6930.0,1307.3197,7499.3697,16.71641
vetro,5.0,greedy,0,14,35278.1104,17792.9,7700.0,1452.5774,8332.633,16.71641
vetro,5.5,greedy,0,14,39026.6314,19792.9,8470.0,1597.8352,9165.8963,16.71641
vetro,6.0,greedy,0,14,42775.1525,21792.9,9240.0,1743.0929,9999.1596,16.71641
indifferenziata,0.5,greedy,0,18,35838.6962,34142.0,810.0,154.4776,732.2187,16.71641
indifferenziata,1.0,greedy,0,12,26905.2352,24142.0,1080.0,275.7393,1407.4959,16.71641
indifferenziata,1.5,greedy,0,12,18914.4529,14769.6,1620.0,413.6089,2111.2439,16.71641
indifferenziata,2.0,greedy,1,12,13434.0705,7907.6,2160.0,551.4786,2814.9919,16.71641
indifferenziata,2.5,greedy,0,12,13467.6881,6559.6,2700.0,689.3482,3518.7399,16.71641
indifferenziata,3.0,greedy,0,12,13501.3057,5211.6,3240.0,827.2179,4222.4878,16.71641
indifferenziata,3.5,greedy,0,12,15862.9233,6191.6,3780.0,965.0875,4926.2358,16.71641
indifferenziata,4.0,greedy,0,12,18224.5409,7171.6,4320.0,1102.9571,5629.9838,16.71641
indifferenziata,4.5,greedy,0,12,21606.1586,9171.6,4860.0,1240.8268,6333.7318,16.71641
indifferenziata,5.0,greedy,0,12,24987.7762,11171.6,5400.0,1378.6964,7037.4797,16.71641
indifferenziata,5.5,greedy,0,12,28369.3938,13171.6,5940.0,1516.5661,7741.2277,16.71641
indifferenziata,6.0,greedy,0,12,31751.0114,15171.6,6480.0,1654.4357,8444.9757,16.71641
organico,0.5,clarke_wright,0,28,47599.6097,45177.5,1680.0,101.2088,640.9008,27.229399
organico,1.0,clarke_wright,0,15,38352.2765,35177.5,1800.0,162.0966,1212.6799,27.229399
organico,1.5,clarke_wright,0,11,29176.858,25177.5,1980.0,227.374,1791.984,27.229399
organico,2.0,clarke_wright,0,11,22077.4076,16746.5,2640.0,302.587,2388.3206,27.229399
