rifiuto,X_r,algoritmo,is_best,n_vehicles,F_total,F_insoddis,F_costo_fisso,F_viaggio,F_lavoro,algo_time_sec
organico,0.5,greedy,0,75,122081.0489,115447.5,4500.0,343.2759,1790.273,50.807419
organico,1.0,greedy,0,38,98878.2368,90447.5,4560.0,540.5241,3330.2127,50.807419
organico,1.5,greedy,0,29,76305.9405,65447.5,5220.0,749.0149,4889.4255,50.807419
organico,2.0,greedy,0,28,58397.9834,44203.5,6720.0,982.6833,6491.8,50.807419
organico,2.5,greedy,0,28,44458.6042,26715.5,8400.0,1228.3542,8114.75,50.807419
organico,3.0,greedy,0,28,43971.225,22679.5,10080.0,1474.025,9737.7,50.807419
organico,3.5,greedy,1,28,43483.8459,18643.5,11760.0,1719.6959,11360.65,50.807419
organico,4.0,greedy,0,28,46071.4667,17682.5,13440.0,1965.3667,12983.6,50.807419
organico,4.5,greedy,0,28,51734.0876,19796.5,15120.0,2211.0375,14606.55,50.807419
organico,5.0,greedy,0,28,57396.7084,21910.5,16800.0,2456.7084,16229.5,50.807419
organico,5.5,greedy,0,28,65945.3292,26910.5,18480.0,2702.3792,17852.45,50.807419
organico,6.0,greedy,0,28,74493.9501,31910.5,20160.0,2948.05,19475.4,50.807419
carta,0.5,greedy,0,50,34969.6833,31179.0,2000.0,290.7517,1499.9316,50.807419
carta,1.0,greedy,0,26,16091.5495,10686.2,2080.0,487.1814,2838.1682,50.807419
carta,1.5,greedy,1,24,14434.2898,6650.2,2880.0,699.8488,4204.241,50.807419
carta,2.0,greedy,0,24,19142.9864,8764.2,3840.0,933.1317,5605.6547,50.807419
carta,2.5,greedy,0,24,26737.6831,13764.2,4800.0,1166.4147,7007.0684,50.807419
carta,3.0,greedy,0,24,34332.3797,18764.2,5760.0,1399.6976,8408.4821,50.807419
carta,3.5,greedy,0,24,41927.0763,23764.2,6720.0,1632.9805,9809.8957,50.807419
carta,4.0,greedy,0,24,49521.7729,28764.2,7680.0,1866.2635,11211.3094,50.807419
carta,4.5,greedy,0,24,57116.4695,33764.2,8640.0,2099.5464,12612.7231,50.807419
carta,5.0,greedy,0,24,64711.1661,38764.2,9600.0,2332.8293,14014.1368,50.807419
carta,5.5,greedy,0,24,72305.8627,43764.2,10560.0,2566.1123,15415.5504,50.807419
carta,6.0,greedy,0,24,79900.5593,48764.2,11520.0,2799.3952,16816.9641,50.807419
