rifiuto,X_r,algoritmo,is_best,n_vehicles,F_total,F_insoddis,F_costo_fisso,F_viaggio,F_lavoro,algo_time_sec
organico,0.5,greedy,0,15,24248.8263,22825.0,900.0,106.2255,417.6008,7.988233
organico,1.0,greedy,0,8,19773.5002,17825.0,960.0,190.658,797.8422,7.988233
organico,1.5,greedy,0,7,15534.2908,12825.0,1260.0,273.6598,1175.631,7.988233
organico,2.0,greedy,0,7,12217.3877,8605.0,1680.0,364.8797,1567.508,7.988233
organico,2.5,greedy,1,7,9680.4846,5165.0,2100.0,456.0996,1959.385,7.988233
organico,3.0,greedy,0,7,9873.5815,4455.0,2520.0,547.3196,2351.2619,7.988233
organico,3.5,greedy,0,7,10066.6784,3745.0,2940.0,638.5395,2743.1389,7.988233
organico,4.0,greedy,0,7,10823.7754,3599.0,3360.0,729.7594,3135.0159,7.988233
organico,4.5,greedy,0,7,12144.8723,4017.0,3780.0,820.9794,3526.8929,7.988233
organico,5.0,greedy,0,7,13465.9692,4435.0,4200.0,912.1993,3918.7699,7.988233
organico,5.5,greedy,0,7,15369.0661,5435.0,4620.0,1003.4192,4310.6469,7.988233
organico,6.0,greedy,0,7,17272.163,6435.0,5040.0,1094.6391,4702.5239,7.988233
carta,0.5,greedy,0,10,6989.8202,6130.0,400.0,97.1048,362.7154,7.988233
carta,1.0,greedy,0,6,3418.905,2066.0,480.0,176.9913,695.9137,7.988233
carta,1.5,greedy,1,6,3385.3575,1356.0,720.0,265.487,1043.8706,7.988233
carta,2.0,greedy,0,6,4479.8101,1774.0,960.0,353.9826,1391.8274,7.988233
carta,2.5,greedy,0,6,6156.2626,2774.0,1200.0,442.4783,1739.7843,7.988233
carta,3.0,greedy,0,6,7832.7151,3774.0,1440.0,530.974,2087.7411,7.988233
carta,3.5,greedy,0,6,9509.1676,4774.0,1680.0,619.4696,2435.698,7.988233
carta,4.0,greedy,0,6,11185.6201,5774.0,1920.0,707.9653,2783.6548,7.988233
carta,4.5,greedy,0,6,12862.0726,6774.0,2160.0,796.461,3131.6117,7.988233
carta,5.0,greedy,0,6,14538.5251,7774.0,2400.0,884.9566,3479.5685,7.988233
carta,5.5,greedy,0,6,16214.9777,8774.0,2640.0,973.4523,3827.5254,7.988233
carta,6.0,greedy,0,6,17891.4302,9774.0,2880.0,1061.9479,4175.4822,7.988233
plastica,0.5,greedy,0,13,14855.8842,13921.0,455.0,104.4968,375.3874,7.988233
plastica,1.0,greedy,0,7,10301.8825,8921.0,490.0,183.6146,707.2679,7.988233
plastica,1.5,greedy,0,6,6827.5575,4888.2,630.0,265.487,1043.8706,7.988233
plastica,2.0,greedy,0,6,5672.0101,3086.2,840.0,353.9826,1391.8274,7.988233
plastica,2.5,greedy,1,6,5608.4626,2376.2,1050.0,442.4783,1739.7843,7.988233
plastica,3.0,greedy,0,6,6560.1151,2681.4,1260.0,530.974,2087.7411,7.988233
plastica,3.5,greedy,0,6,7740.9676,3215.8,1470.0,619.4696,2435.698,7.988233
plastica,4.0,greedy,0,6,9387.4201,4215.8,1680.0,707.9653,2783.6548,7.988233
plastica,4.5,greedy,0,6,11033.8726,5215.8,1890.0,796.461,3131.6117,7.988233
plastica,5.0,greedy,0,6,12680.3251,6215.8,2100.0,884.9566,3479.5685,7.988233
plastica,5.5,greedy,0,6,14326.7777,7215.8,2310.0,973.4523,3827.5254,7.988233
plastica,6.0,greedy,0,6,15973.2302,8215.8,2520.0,1061.9479,4175.4822,7.988233
vetro,0.5,greedy,1,8,2025.7717,1033.0,440.0,95.1988,457.573,7.988233
vetro,1.0,greedy,0,8,2872.5435,887.0,880.0,190.3976,915.1459,7.988233
vetro,1.5,greedy,0,8,4865.3152,1887.0,1320.0,285.5964,1372.7189,7.988233
vetro,2.0,greedy,0,8,6858.087,2887.0,1760.0,380.7952,1830.2918,7.988233
vetro,2.5,greedy,0,8,8850.8587,3887.0,2200.0,475.994,2287.8648,7.988233
vetro,3.0,greedy,0,8,10843.6305,4887.0,2640.0,571.1928,2745.4377,7.988233
vetro,3.5,greedy,0,8,12836.4022,5887.0,3080.0,666.3916,3203.0107,7.988233
vetro,4.0,greedy,0,8,14829.174,6887.0,3520.0,761.5903,3660.5836,7.988233
vetro,4.5,greedy,0,8,16821.9457,7887.0,3960.0,856.7891,4118.1566,7.988233
