rifiuto,X_r,algoritmo,is_best,n_vehicles,F_total,F_insoddis,F_costo_fisso,F_viaggio,F_lavoro,algo_time_sec
organico,0.5,greedy,0,93,147552.9748,139447.5,5580.0,395.7118,2129.763,61.553901
organico,1.0,greedy,0,48,119801.0493,109447.5,5760.0,622.9076,3970.6417,61.553901
organico,1.5,greedy,0,35,92439.8232,79447.5,6300.0,861.4139,5830.9093,61.553901
organico,2.0,greedy,0,32,70340.8552,53953.5,7680.0,1069.0679,7638.2873,61.553901
organico,2.5,greedy,0,32,53449.694,32965.5,9600.0,1336.3348,9547.8591,61.553901
organico,3.0,greedy,0,32,52518.5328,27937.5,11520.0,1603.6018,11457.431,61.553901
organico,3.5,greedy,1,32,51587.3716,22909.5,13440.0,1870.8688,13367.0028,61.553901
organico,4.0,greedy,0,32,54313.2104,21538.5,15360.0,2138.1357,15276.5746,61.553901
organico,4.5,greedy,0,32,60696.0492,23824.5,17280.0,2405.4027,17186.1464,61.553901
organico,5.0,greedy,0,32,67078.8879,26110.5,19200.0,2672.6697,19095.7183,61.553901
organico,5.5,greedy,0,32,77175.7267,32110.5,21120.0,2939.9366,21005.2901,61.553901
organico,6.0,greedy,0,32,87272.5655,38110.5,23040.0,3207.2036,22914.8619,61.553901
carta,0.5,greedy,0,62,42389.8115,37779.0,2480.0,339.4306,1791.3809,61.553901
carta,1.0,greedy,0,33,19780.3694,13186.2,2640.0,565.5887,3388.5807,61.553901
carta,1.5,greedy,1,28,17295.1706,8158.2,3360.0,791.5419,4985.4288,61.553901
carta,2.0,greedy,0,28,22636.1784,10444.2,4480.0,1058.8342,6653.1442,61.553901
carta,2.5,greedy,0,28,31684.173,16444.2,5600.0,1323.5427,8316.4302,61.553901
carta,3.0,greedy,0,28,40732.1676,22444.2,6720.0,1588.2513,9979.7163,61.553901
carta,3.5,greedy,0,28,49780.1622,28444.2,7840.0,1852.9598,11643.0023,61.553901
carta,4.0,greedy,0,28,58828.1568,34444.2,8960.0,2117.6684,13306.2884,61.553901
carta,4.5,greedy,0,28,67876.1513,40444.2,10080.0,2382.3769,14969.5744,61.553901
carta,5.0,greedy,0,28,76924.1459,46444.2,11200.0,2647.0855,16632.8605,61.553901
carta,5.5,greedy,0,28,85972.1405,52444.2,12320.0,2911.794,18296.1465,61.553901
carta,6.0,greedy,0,28,95020.1351,58444.2,13440.0,3176.5026,19959.4325,61.553901
plastica,0.5,greedy,0,79,90191.0216,85224.3,2765.0,365.5553,1836.1663,61.553901
plastica,1.0,greedy,0,40,62077.7659,55224.3,2800.0,602.1716,3451.2942,61.553901
plastica,1.5,greedy,0,29,39656.163,30811.74,3045.0,799.8138,4999.6092,61.553901
plastica,2.0,greedy,0,28,31031.7184,19399.74,3920.0,1058.8342,6653.1442,61.553901
plastica,2.5,greedy,1,28,28911.713,14371.74,4900.0,1323.5427,8316.4302,61.553901
plastica,3.0,greedy,0,28,33374.3076,15926.34,5880.0,1588.2513,9979.7163,61.553901
plastica,3.5,greedy,0,28,39311.1022,18955.14,6860.0,1852.9598,11643.0023,61.553901
plastica,4.0,greedy,0,28,48219.0968,24955.14,7840.0,2117.6684,13306.2884,61.553901
plastica,4.5,greedy,0,28,57127.0913,30955.14,8820.0,2382.3769,14969.5744,61.553901
plastica,5.0,greedy,0,28,66035.0859,36955.14,9800.0,2647.0855,16632.8605,61.553901
plastica,5.5,greedy,0,28,74943.0805,42955.14,10780.0,2911.794,18296.1465,61.553901
plastica,6.0,greedy,0,28,83851.0751,48955.14,11760.0,3176.5026,19959.4325,61.553901
vetro,0.5,greedy,1,39,11328.2333,6593.1,2145.0,285.8517,2304.2816,61.553901
vetro,1.0,greedy,0,39,14672.8306,5222.1,4290.0,564.506,4596.2246,61.553901
vetro,1.5,greedy,0,39,25398.1959,11222.1,6435.0,846.759,6894.337,61.553901
vetro,2.0,greedy,0,39,36123.5612,17222.1,8580.0,1129.0119,9192.4493,61.553901
