rifiuto,X_r,algoritmo,is_best,n_vehicles,F_total,F_insoddis,F_costo_fisso,F_viaggio,F_lavoro,algo_time_sec
organico,0.5,greedy,0,60,97647.359,92297.5,3600.0,291.5533,1458.3057,40.510852
organico,1.0,greedy,0,31,79232.1038,72297.5,3720.0,478.0645,2736.5393,40.510852
organico,1.5,greedy,0,23,61101.6085,52297.5,4140.0,658.961,4005.1475,40.510852
organico,2.0,greedy,0,23,47039.6021,35318.5,5520.0,872.0902,5329.0119,40.510852
organico,2.5,greedy,0,23,36011.8776,21360.5,6900.0,1090.1127,6661.2649,40.510852
organico,3.0,greedy,0,23,35772.1531,18190.5,8280.0,1308.1353,7993.5179,40.510852
organico,3.5,greedy,1,23,35532.4287,15020.5,9660.0,1526.1578,9325.7709,40.510852
organico,4.0,greedy,0,23,37698.7042,14256.5,11040.0,1744.1803,10658.0238,40.510852
organico,4.5,greedy,0,23,42270.9797,15898.5,12420.0,1962.2029,11990.2768,40.510852
organico,5.0,greedy,0,23,46843.2552,17540.5,13800.0,2180.2254,13322.5298,40.510852
organico,5.5,greedy,0,23,53773.5308,21540.5,15180.0,2398.248,14654.7828,40.510852
organico,6.0,greedy,0,23,60703.8063,25540.5,16560.0,2616.2705,15987.0358,40.510852
carta,0.5,greedy,0,40,27994.2159,24919.0,1600.0,249.2243,1225.9916,40.510852
carta,1.0,greedy,0,21,12988.6035,8544.2,1680.0,429.9118,2334.4917,40.510852
carta,1.5,greedy,1,20,11871.6323,5374.2,2400.0,626.7514,3470.6809,40.510852
carta,2.0,greedy,0,20,15679.4431,7016.2,3200.0,835.6685,4627.5746,40.510852
carta,2.5,greedy,0,20,21845.2538,11016.2,4000.0,1044.5856,5784.4682,40.510852
carta,3.0,greedy,0,20,28011.0646,15016.2,4800.0,1253.5027,6941.3618,40.510852
carta,3.5,greedy,0,20,34176.8753,19016.2,5600.0,1462.4199,8098.2555,40.510852
carta,4.0,greedy,0,20,40342.6861,23016.2,6400.0,1671.337,9255.1491,40.510852
carta,4.5,greedy,0,20,46508.4969,27016.2,7200.0,1880.2541,10412.0427,40.510852
carta,5.0,greedy,0,20,52674.3076,31016.2,8000.0,2089.1712,11568.9364,40.510852
carta,5.5,greedy,0,20,58840.1184,35016.2,8800.0,2298.0884,12725.83,40.510852
carta,6.0,greedy,0,20,65005.9292,39016.2,9600.0,2507.0055,13882.7237,40.510852
plastica,0.5,greedy,0,51,59678.2571,56362.3,1785.0,269.7605,1261.1966,40.510852
plastica,1.0,greedy,0,26,40992.7828,36362.3,1820.0,446.8884,2363.5943,40.510852
plastica,1.5,greedy,0,20,26283.9191,20108.34,2100.0,618.7002,3456.8789,40.510852
plastica,2.0,greedy,0,20,20886.3831,12623.14,2800.0,835.6685,4627.5746,40.510852
plastica,2.5,greedy,1,20,19782.1938,9453.14,3500.0,1044.5856,5784.4682,40.510852
plastica,3.0,greedy,0,20,23008.8046,10613.94,4200.0,1253.5027,6941.3618,40.510852
plastica,3.5,greedy,0,20,27188.2153,12727.54,4900.0,1462.4199,8098.2555,40.510852
plastica,4.0,greedy,0,20,33254.0261,16727.54,5600.0,1671.337,9255.1491,40.510852
plastica,4.5,greedy,0,20,39319.8369,20727.54,6300.0,1880.2541,10412.0427,40.510852
plastica,5.0,greedy,0,20,45385.6476,24727.54,7000.0,2089.1712,11568.9364,40.510852
plastica,5.5,greedy,0,20,51451.4584,28727.54,7700.0,2298.0884,12725.83,40.510852
plastica,6.0,greedy,0,20,57517.2692,32727.54,8400.0,2507.0055,13882.7237,40.510852
vetro,0.5,greedy,1,27,7556.0152,4272.1,1485.0,221.3438,1577.5715,40.510852
vetro,1.0,greedy,0,27,10063.4397,3508.1,2970.0,438.0856,3147.254,40.510852
vetro,1.5,greedy,0,27,17341.1095,7508.1,4455.0,657.1284,4720.8811,40.510852
vetro,2.0,greedy,0,27,24618.7793,11508.1,5940.0,876.1712,6294.5081,40.510852
vetro,2.5,greedy,0,27,31896.4492,15508.1,7425.0,1095.2141,7868.1351,40.510852
vetro,3.0,greedy,0,27,39174.119,19508.1,8910.0,1314.2569,9441.7621,40.510852
vetro,3.5,greedy,0,27,46451.7888,23508.1,10395.0,1533.2997,11015.3892,40.510852
vetro,4.0,greedy,0,27,53729.4587,27508.1,11880.0,1752.3425,12589.0162,40.510852
vetro,4.5,greedy,0,27,61007.1285,31508.1,13365.0,1971.3853,14162.6432,40.510852
vetro,5.0,greedy,0,27,68284.7984,35508.1,14850.0,2190.4281,15736.2702,40.510852
vetro,5.5,greedy,0,27,75562.4682,39508.1,16335.0,2409.4709,17309.8973,40.510852
vetro,6.0,greedy,0,27,82840.138,43508.1,17820.0,2628.5137,18883.5243,40.510852
indifferenziata,0.5,greedy,0,38,73188.0213,69838.0,1710.0,251.0868,1388.9345,40.510852
indifferenziata,1.0,greedy,0,23,55015.2586,49838.0,2070.0,438.5163,2668.7423,40.510852
indifferenziata,1.5,greedy,0,23,38802.2266,31046.4,3105.0,654.0676,3996.7589,40.510852
indifferenziata,2.0,greedy,0,23,27429.5021,17088.4,4140.0,872.0902,5329.0119,40.510852
indifferenziata,2.5,greedy,0,23,26844.7776,13918.4,5175.0,1090.1127,6661.2649,40.510852
indifferenziata,3.0,greedy,1,23,26260.0531,10748.4,6210.0,1308.1353,7993.5179,40.510852
indifferenziata,3.5,greedy,0,23,30487.3287,12390.4,7245.0,1526.1578,9325.7709,40.510852
indifferenziata,4.0,greedy,0,23,34714.6042,14032.4,8280.0,1744.1803,10658.0238,40.510852
indifferenziata,4.5,greedy,0,23,41299.8797,18032.4,9315.0,1962.2029,11990.2768,40.510852
indifferenziata,5.0,greedy,0,23,47885.1552,22032.4,10350.0,2180.2254,13322.5298,40.510852
indifferenziata,5.5,greedy,0,23,54470.4308,26032.4,11385.0,2398.248,14654.7828,40.510852
indifferenziata,6.0,greedy,0,23,61055.7063,30032.4,12420.0,2616.2705,15987.0358,40.510852
organico,0.5,clarke_wright,0,60,97330.5782,92297.5,3600.0,174.8446,1258.2336,99.66697
organico,1.0,clarke_wright,0,31,78650.5523,72297.5,3720.0,263.8087,2369.2436,99.66697
organico,1.5,clarke_wright,0,22,60091.3591,52297.5,3960.0,353.0796,3480.7795,99.66697
organico,2.0,clarke_wright,0,20,45221.7552,35318.5,4800.0,467.6203,4635.6349,99.66697
organico,2.5,clarke_wright,0,20,33739.569,21360.5,6000.0,584.5254,5794.5436,99.66697
organico,3.0,clarke_wright,0,20,33045.3828,18190.5,7200.0,701.4305,6953.4524,99.66697
organico,3.5,clarke_wright,1,20,32351.1967,15020.5,8400.0,818.3356,8112.3611,99.66697
organico,4.0,clarke_wright,0,20,34063.0105,14256.5,9600.0,935.2406,9271.2698,99.66697
organico,4.5,clarke_wright,0,20,38180.8243,15898.5,10800.0,1052.1457,10430.1786,99.66697
organico,5.0,clarke_wright,0,20,42298.6381,17540.5,12000.0,1169.0508,11589.0873,99.66697
organico,5.5,clarke_wright,0,20,48774.4519,21540.5,13200.0,1285.9559,12747.996,99.66697
organico,6.0,clarke_wright,0,20,55250.2657,25540.5,14400.0,1402.8609,13906.9047,99.66697
carta,0.5,clarke_wright,0,41,27750.4268,24919.0,1640.0,144.6704,1046.7564,99.66697
carta,1.0,clarke_wright,0,21,12457.6905,8544.2,1680.0,234.3123,1999.1782,99.66697
carta,1.5,clarke_wright,1,18,10851.319,5374.2,2160.0,339.2675,2977.8515,99.66697
carta,2.0,clarke_wright,0,18,14318.9138,7016.2,2880.0,452.3156,3970.3982,99.66697
carta,2.5,clarke_wright,0,18,20144.5923,11016.2,3600.0,565.3946,4962.9978,99.66697
carta,3.0,clarke_wright,0,18,25970.2708,15016.2,4320.0,678.4735,5955.5973,99.66697
carta,3.5,clarke_wright,0,18,31795.9492,19016.2,5040.0,791.5524,6948.1969,99.66697
carta,4.0,clarke_wright,0,18,37621.6277,23016.2,5760.0,904.6313,7940.7964,99.66697
carta,4.5,clarke_wright,0,18,43447.3062,27016.2,6480.0,1017.7102,8933.396,99.66697
carta,5.0,clarke_wright,0,18,49272.9846,31016.2,7200.0,1130.7891,9925.9955,99.66697
carta,5.5,clarke_wright,0,18,55098.6631,35016.2,7920.0,1243.868,10918.5951,99.66697
carta,6.0,clarke_wright,0,18,60924.3415,39016.2,8640.0,1356.9469,11911.1946,99.66697
plastica,0.5,clarke_wright,0,52,59418.0105,56362.3,1820.0,160.9855,1074.7251,99.66697
plastica,1.0,clarke_wright,0,26,40460.2925,36362.3,1820.0,250.7078,2027.2848,99.66697
plastica,1.5,clarke_wright,0,18,25324.2844,20108.34,1890.0,342.519,2983.4254,99.66697
plastica,2.0,clarke_wright,0,18,19565.8538,12623.14,2520.0,452.3156,3970.3982,99.66697
plastica,2.5,clarke_wright,1,18,18131.5323,9453.14,3150.0,565.3946,4962.9978,99.66697
plastica,3.0,clarke_wright,0,18,21028.0108,10613.94,3780.0,678.4735,5955.5973,99.66697
plastica,3.5,clarke_wright,0,18,24877.2892,12727.54,4410.0,791.5524,6948.1969,99.66697
plastica,4.0,clarke_wright,0,18,30612.9677,16727.54,5040.0,904.6313,7940.7964,99.66697
plastica,4.5,clarke_wright,0,18,36348.6462,20727.54,5670.0,1017.7102,8933.396,99.66697
plastica,5.0,clarke_wright,0,18,42084.3246,24727.54,6300.0,1130.7891,9925.9955,99.66697
plastica,5.5,clarke_wright,0,18,47820.0031,28727.54,6930.0,1243.868,10918.5951,99.66697
plastica,6.0,clarke_wright,0,18,53555.6815,32727.54,7560.0,1356.9469,11911.1946,99.66697
vetro,0.5,clarke_wright,1,25,7178.0147,4272.1,1375.0,122.6067,1408.3079,99.66697
vetro,1.0,clarke_wright,0,25,9319.9293,3508.1,2750.0,245.2134,2816.6159,99.66697
vetro,1.5,clarke_wright,0,25,16225.844,7508.1,4125.0,367.8202,4224.9238,99.66697
vetro,2.0,clarke_wright,0,25,23131.7587,11508.1,5500.0,490.4269,5633.2318,99.66697
vetro,2.5,clarke_wright,0,25,30037.6733,15508.1,6875.0,613.0336,7041.5397,99.66697
vetro,3.0,clarke_wright,0,25,36943.588,19508.1,8250.0,735.6403,8449.8477,99.66697
vetro,3.5,clarke_wright,0,25,43849.5027,23508.1,9625.0,858.2471,9858.1556,99.66697
vetro,4.0,clarke_wright,0,25,50755.4174,27508.1,11000.0,980.8538,11266.4636,99.66697
vetro,4.5,clarke_wright,0,25,57661.332,31508.1,12375.0,1103.4605,12674.7715,99.66697
vetro,5.0,clarke_wright,0,25,64567.2467,35508.1,13750.0,1226.0672,14083.0795,99.66697
vetro,5.5,clarke_wright,0,25,71473.1614,39508.1,15125.0,1348.6739,15491.3874,99.66697
vetro,6.0,clarke_wright,0,25,78379.076,43508.1,16500.0,1471.2807,16899.6954,99.66697
indifferenziata,0.5,clarke_wright,0,38,72891.1463,69838.0,1710.0,141.7118,1201.4345,99.66697
indifferenziata,1.0,clarke_wright,0,21,54276.2749,49838.0,1890.0,232.575,2315.6999,99.66697
indifferenziata,1.5,clarke_wright,0,21,37699.5893,31046.4,2835.0,347.3066,3470.8827,99.66697
indifferenziata,2.0,clarke_wright,0,21,25959.319,17088.4,3780.0,463.0754,4627.8436,99.66697
indifferenziata,2.5,clarke_wright,0,21,25007.0488,13918.4,4725.0,578.8443,5784.8045,99.66697
indifferenziata,3.0,clarke_wright,1,21,24054.7786,10748.4,5670.0,694.6131,6941.7654,99.66697
indifferenziata,3.5,clarke_wright,0,21,27914.5083,12390.4,6615.0,810.382,8098.7264,99.66697
indifferenziata,4.0,clarke_wright,0,21,31774.2381,14032.4,7560.0,926.1508,9255.6873,99.66697
indifferenziata,4.5,clarke_wright,0,21,37991.9678,18032.4,8505.0,1041.9197,10412.6482,99.66697
indifferenziata,5.0,clarke_wright,0,21,44209.6976,22032.4,9450.0,1157.6885,11569.6091,99.66697
indifferenziata,5.5,clarke_wright,0,21,50427.4274,26032.4,10395.0,1273.4574,12726.57,99.66697
indifferenziata,6.0,clarke_wright,0,21,56645.1571,30032.4,11340.0,1389.2262,13883.5309,99.66697
