rifiuto,X_r,algoritmo,is_best,n_vehicles,F_total,F_insoddis,F_costo_fisso,F_viaggio,F_lavoro,algo_time_sec
organico,0.5,greedy,0,12,17576.1585,16435.0,720.0,92.1637,328.9948,7.290325
organico,1.0,greedy,0,6,14421.6891,12935.0,720.0,156.4644,610.2246,7.290325
organico,1.5,greedy,0,5,11436.8048,9435.0,900.0,216.9281,884.8767,7.290325
organico,2.0,greedy,0,5,9135.073,6466.0,1200.0,289.2374,1179.8356,7.290325
organico,2.5,greedy,1,5,7364.3413,4028.0,1500.0,361.5468,1474.7945,7.290325
organico,3.0,greedy,0,5,7411.6095,3408.0,1800.0,433.8562,1769.7534,7.290325
organico,3.5,greedy,0,5,7458.8778,2788.0,2100.0,506.1655,2064.7122,7.290325
organico,4.0,greedy,0,5,7923.146,2585.0,2400.0,578.4749,2359.6711,7.290325
organico,4.5,greedy,0,5,8804.4143,2799.0,2700.0,650.7842,2654.63,7.290325
organico,5.0,greedy,0,5,9685.6825,3013.0,3000.0,723.0936,2949.5889,7.290325
organico,5.5,greedy,0,5,11052.9508,3713.0,3300.0,795.4029,3244.5478,7.290325
organico,6.0,greedy,0,5,12420.219,4413.0,3600.0,867.7123,3539.5067,7.290325
carta,0.5,greedy,0,8,5171.1491,4474.0,320.0,86.4497,290.6994,7.290325
carta,1.0,greedy,0,5,2682.5733,1611.2,400.0,142.348,529.0253,7.290325
carta,1.5,greedy,1,5,2598.2599,991.2,600.0,213.522,793.5379,7.290325
carta,2.0,greedy,0,5,3347.9466,1205.2,800.0,284.6961,1058.0505,7.290325
carta,2.5,greedy,0,5,4583.6332,1905.2,1000.0,355.8701,1322.5631,7.290325
carta,3.0,greedy,0,5,5819.3199,2605.2,1200.0,427.0441,1587.0758,7.290325
carta,3.5,greedy,0,5,7055.0065,3305.2,1400.0,498.2181,1851.5884,7.290325
carta,4.0,greedy,0,5,8290.6931,4005.2,1600.0,569.3921,2116.101,7.290325
carta,4.5,greedy,0,5,9526.3798,4705.2,1800.0,640.5661,2380.6137,7.290325
carta,5.0,greedy,0,5,10762.0664,5405.2,2000.0,711.7401,2645.1263,7.290325
carta,5.5,greedy,0,5,11997.7531,6105.2,2200.0,782.9142,2909.6389,7.290325
carta,6.0,greedy,0,5,13233.4397,6805.2,2400.0,854.0882,3174.1515,7.290325
plastica,0.5,greedy,0,10,10784.1534,10055.8,350.0,86.8933,291.46,7.290325
plastica,1.0,greedy,0,5,7604.208,6555.8,350.0,152.3082,546.0998,7.290325
plastica,1.5,greedy,0,5,5246.2999,3714.24,525.0,213.522,793.5379,7.290325
plastica,2.0,greedy,0,5,4409.7866,2367.04,700.0,284.6961,1058.0505,7.290325
plastica,2.5,greedy,1,5,4300.4732,1747.04,875.0,355.8701,1322.5631,7.290325
plastica,3.0,greedy,0,5,4941.7599,1877.64,1050.0,427.0441,1587.0758,7.290325
plastica,3.5,greedy,0,5,5763.6465,2188.84,1225.0,498.2181,1851.5884,7.290325
plastica,4.0,greedy,0,5,6974.3331,2888.84,1400.0,569.3921,2116.101,7.290325
plastica,4.5,greedy,0,5,8185.0198,3588.84,1575.0,640.5661,2380.6137,7.290325
plastica,5.0,greedy,0,5,9395.7064,4288.84,1750.0,711.7401,2645.1263,7.290325
plastica,5.5,greedy,0,5,10606.3931,4988.84,1925.0,782.9142,2909.6389,7.290325
plastica,6.0,greedy,0,5,11817.0797,5688.84,2100.0,854.0882,3174.1515,7.290325
vetro,0.5,greedy,1,6,1564.5247,805.6,330.0,79.2749,349.6498,7.290325
vetro,1.0,greedy,0,6,2120.4495,602.6,660.0,158.5498,699.2997,7.290325
vetro,1.5,greedy,0,6,3579.3742,1302.6,990.0,237.8247,1048.9495,7.290325
vetro,2.0,greedy,0,6,5038.299,2002.6,1320.0,317.0996,1398.5993,7.290325
vetro,2.5,greedy,0,6,6497.2237,2702.6,1650.0,396.3745,1748.2492,7.290325
vetro,3.0,greedy,0,6,7956.1485,3402.6,1980.0,475.6495,2097.899,7.290325
vetro,3.5,greedy,0,6,9415.0732,4102.6,2310.0,554.9244,2447.5488,7.290325
vetro,4.0,greedy,0,6,10873.9979,4802.6,2640.0,634.1993,2797.1987,7.290325
vetro,4.5,greedy,0,6,12332.9227,5502.6,2970.0,713.4742,3146.8485,7.290325
vetro,5.0,greedy,0,6,13791.8474,6202.6,3300.0,792.7491,3496.4983,7.290325
vetro,5.5,greedy,0,6,15250.7722,6902.6,3630.0,872.024,3846.1482,7.290325
vetro,6.0,greedy,0,6,16709.6969,7602.6,3960.0,951.2989,4195.798,7.290325
indifferenziata,0.5,greedy,0,8,13200.452,12448.0,360.0,81.5876,310.8644,7.290325
indifferenziata,1.0,greedy,0,5,10132.5365,8948.0,450.0,144.6187,589.9178,7.290325
indifferenziata,1.5,greedy,0,5,7437.2048,5660.4,675.0,216.9281,884.8767,7.290325
indifferenziata,2.0,greedy,0,5,5591.473,3222.4,900.0,289.2374,1179.8356,7.290325
indifferenziata,2.5,greedy,0,5,5563.7413,2602.4,1125.0,361.5468,1474.7945,7.290325
indifferenziata,3.0,greedy,1,5,5536.0095,1982.4,1350.0,433.8562,1769.7534,7.290325
indifferenziata,3.5,greedy,0,5,6342.2778,2196.4,1575.0,506.1655,2064.7122,7.290325
indifferenziata,4.0,greedy,0,5,7148.546,2410.4,1800.0,578.4749,2359.6711,7.290325
indifferenziata,4.5,greedy,0,5,8440.8143,3110.4,2025.0,650.7842,2654.63,7.290325
indifferenziata,5.0,greedy,0,5,9733.0825,3810.4,2250.0,723.0936,2949.5889,7.290325
indifferenziata,5.5,greedy,0,5,11025.3508,4510.4,2475.0,795.4029,3244.5478,7.290325
indifferenziata,6.0,greedy,0,5,12317.619,5210.4,2700.0,867.7123,3539.5067,7.290325
organico,0.5,clarke_wright,0,12,17460.4946,16435.0,720.0,49.5506,255.944,8.676402
organico,1.0,clarke_wright,0,6,14230.8886,12935.0,720.0,86.1695,489.7191,8.676402
organico,1.5,clarke_wright,0,5,11191.3192,9435.0,900.0,126.486,729.8332,8.676402
organico,2.0,clarke_wright,0,5,8807.5181,6466.0,1200.0,168.5593,972.9588,8.676402
organico,2.5,clarke_wright,0,5,6954.8976,4028.0,1500.0,210.6991,1216.1985,8.676402
organico,3.0,clarke_wright,0,5,6920.2772,3408.0,1800.0,252.839,1459.4382,8.676402
organico,3.5,clarke_wright,1,5,6885.6567,2788.0,2100.0,294.9788,1702.6779,8.676402
organico,4.0,clarke_wright,0,5,7268.0362,2585.0,2400.0,337.1186,1945.9176,8.676402
organico,4.5,clarke_wright,0,5,8067.4157,2799.0,2700.0,379.2584,2189.1573,8.676402
organico,5.0,clarke_wright,0,5,8866.7953,3013.0,3000.0,421.3983,2432.397,8.676402
organico,5.5,clarke_wright,0,5,10152.1748,3713.0,3300.0,463.5381,2675.6367,8.676402
organico,6.0,clarke_wright,0,5,11437.5543,4413.0,3600.0,505.6779,2918.8764,8.676402
carta,0.5,clarke_wright,0,8,5060.6611,4474.0,320.0,45.7436,220.9175,8.676402
carta,1.0,clarke_wright,0,5,2527.6228,1611.2,400.0,85.261,431.1618,8.676402
